prcp,tmean,DEM,Silt_100cm,Clay_100cm
288.421051,8.516228676,1910.868774,30.30541801,30.28356361
965.4210815,11.70337105,175.2079926,64.36704254,28.97684479
1087.315796,10.808918,547.8731689,32.19908142,28.11698914
442.4736938,7.545818329,1237.224487,25.08714294,29.90394783
1517.763184,16.04874611,105.9960861,21.26953697,20.48185158
829.3684082,18.09332657,445.3800964,34.46970749,36.54929352
347.2894592,9.546962738,1897.346558,24.73057747,16.77823639
1512.868408,20.88763809,9.000713348,1.188521624,4.644628048
311.2631531,8.281228065,1881.021606,26.46712685,17.37685966
1451.447388,17.83419228,118.2351532,23.64204216,40.66918182
813.5263062,7.03189373,181.96492,15.47870541,6.839775085
1387.657837,17.29236221,86.32316589,27.52515984,16.06923866
1139.789429,13.72047138,261.6268311,44.75371933,22.22075272
546.1842041,6.24774313,1602.637207,44.33002853,18.48843002
1284.394775,18.24707794,106.3390045,14.39715385,15.10808086
710.2368164,22.11731339,56.16180038,18.06987953,28.13259888
469.3157959,6.125711441,2481.968506,37.680439,30.78264427
1368.236816,22.70518112,21.3932476,0.920661151,2.345179081
1054.315796,19.61453629,103.7646637,28.10394859,40.91230774
1027.710571,13.98552322,416.3437805,46.40688705,47.17511368
1420.236816,19.8310318,29.81698799,6.549390316,3.496951103
633,23.07731438,7.348738194,11.75454521,14.09954071
1361.921021,18.38672829,143.2167664,13.38145065,31.53195572
1130.605225,12.93540573,200.5640564,52.85493469,39.15853882
698.0263062,2.347987652,1952.746948,24.59146118,13.02203846
1336.789429,17.36296272,83.2677002,41.05059814,48.58585739
936.2894897,17.79368973,334.0336609,17.87970543,28.90808105
1360.631592,22.68134689,35.73733902,1.138718724,2.263973951
767.2631836,4.472968102,1841.697998,18.03067017,4.825528145
945.0263062,19.81079865,103.5423737,13.64306736,29.32378387
1060.578979,18.96996498,109.7270813,22.98925591,35.17318726
1368.973633,20.25624084,39.0480957,2.297520638,4.395959377
416.1052551,8.388951302,2611.434814,20.00082588,7.826446056
539.5526123,7.379045486,2315.760498,17.53388405,25.92837524
1294.578979,18.97019577,101.8779526,8.488981247,15.56308556
1449.210571,19.2784481,85.24893188,11.24582195,11.84765816
1419.342163,17.16036606,46.49672699,53.47777557,24.66161728
435.8421021,6.434690475,1505.352905,38.82029343,19.31864166
415.2631531,7.289152622,1198.792603,36.75748444,25.30330658
