x,y,prcp,tmean,DEM,SDV_100cm,Silt_100cm,Clay_100cm
-935554,2762960,362.2894592,7.570220947,929.7426147,2.583562851,34.70688629,23.82442665
-1075554,1912960,542.2368164,4.466133118,2552.460449,0.945362747,37.73617935,21.6937561
-114554,1014960,993.1052856,18.68555069,227.9584656,0.884572983,30.73122025,50.97750092
193446,941960,1436.263184,18.62898254,128.092865,0.216253445,10.44811726,13.87759495
-1325554,2786960,439.0526428,6.189468384,1240.381226,0.007805326,32.01716995,14.31349945
1314446,1210960,1180.473633,18.01813507,74.90530396,0.259871453,8.453167915,15.90110207
-1032554,1738960,751.6842041,4.275180817,2723.656494,0.067952253,32.2374649,32.38723373
824446,1272960,1562.368408,15.69071198,255.961792,0.046481483,24.14286995,17.75027847
-70554,1627960,953.4210815,13.44777679,412.7323914,0.719008267,52.14756775,42.03581238
-293554,1307960,748.2631836,16.48292923,488.5943909,0.068319559,11.26822758,6.34600544
1156446,1021960,1267.026367,18.7923336,122.6086121,0.672727287,9.353492737,15.54612446
-396554,736960,695.0789185,18.89020157,603.5139771,0.799265385,51.15243149,41.59687805
-388554,740960,655.8684082,19.59493828,443.4582825,0.296143264,32.24407578,31.20661163
-204554,880960,831.5526123,18.84248734,370.7037354,0.965105593,40.18190765,30.74049568
13446,1156960,1170.526367,17.59760284,162.2397461,2.182933569,28.61512947,40.75101471
209446,1705960,1147.552612,12.87089825,238.765274,0.280555546,40.62108994,25.30257225
-298554,1144960,723.4210815,17.59316063,426.2335815,2.646556616,44.70284653,42.28301239
1414446,762960,1360.526367,21.88068771,16.08716965,0.539126396,1.373791814,2.728903294
1208446,1155960,1188.552612,18.20421219,72.05336761,0.622314036,5.557116508,6.246373177
85446,1245960,1375.789429,16.0496006,186.4373932,0.033802819,23.8244133,28.2394352
840446,1468960,1416.526367,14.51620102,208.5085297,0.060405158,45.23711014,40.93664932
774446,1049960,1434.342163,17.96100807,71.53876495,0.521395802,26.60753059,45.02020264
-24554,1341960,1083.184204,16.51790428,232.256134,0.500091851,44.75298309,26.2118454
661446,1432960,1427.736816,15.04164028,172.454071,0.109665431,39.10511017,19.5172863
1017446,898960,1607.552612,19.33349037,75.93139648,0.113867924,6.36877346,7.671226501
-1406554,1396960,607.5,11.34488201,1803.896118,1,28.39948273,48.09110641
922446,997960,1483.368408,18.3141861,99.84321594,0.570247948,10.46253395,32.69091034
-198554,722960,866.6315918,20.54046822,175.7735443,0.969146013,26.80991745,52.49403
-1142554,2374960,744.0789185,0.162920192,2482.70166,0.300000012,30,20.20000076
980446,1322960,1472.526367,15.3572998,325.9016418,0.014552239,21.00792885,24.49832153
-1146554,1716960,398.2631531,8.859444618,2069.158203,1,39.76299286,22.58714485
343446,1415960,1418.105225,14.55881119,337.316864,0.096786045,35.38402176,27.73186493
254446,1032960,1436.052612,18.22984314,78.94186401,0.056390978,23.40686035,23.71494293
99446,1818960,1019.078918,12.33521175,268.3053589,0.544352591,63.86271667,30.09292793
-250554,1580960,713.0263062,13.85460186,596.3599243,0.092470154,19.05114746,14.76730919
1225446,1199960,1178.394775,17.53219795,136.3601837,0.518433154,11.50847912,30.16875458
1445446,715960,1373.578979,22.42917824,24.45304871,0.09862259,2.966023922,3.011386633
-333554,617960,549.5526123,21.95609665,164.7982178,0.675298452,11.95381069,21.49485779
-760554,898960,393.078949,15.75990391,1468.117798,0.179981634,35.65803528,30.37355423
-157554,1134960,927.5,18.03419495,235.4435272,0.501744688,23.70789719,21.9308548
771446,1316960,1442.736816,15.90273857,174.9763641,0.013807107,47.44274139,28.60517693
920446,1459960,1382.947388,14.71188831,281.1867676,0.030649856,36.95916367,36.45392609
-414554,1028960,606.0789185,17.00415802,766.5515747,0.05932048,37.11368179,29.07603264
-1065554,1390960,280.7631531,10.50059986,2048.194824,1.52910924,24.34986115,32.50045776
153446,1076960,1269.447388,18.39036369,57.656147,0.317618579,25.0562439,20.04249763
121446,1389960,1351.631592,15.15832043,287.7727051,0.200000003,31.46914673,23.87906265
1330446,711960,1395.157837,21.86389923,38.60334015,0.100000001,3.934710741,9.617814064
-2286554,2268960,1862.710571,7.726652145,1430.941528,1,36.09641647,27.47851181
-37554,632960,1096.710571,21.45867538,6.65217495,0.778236926,23.8328743,28.25197411
1275446,1105960,1212.526367,18.71199799,72.21711731,0.821168602,10.94233704,19.61168671
506446,1636960,1253.421021,12.58444214,261.8525391,0.270982563,46.99192047,21.31937599
-86554,1177960,1057.736816,17.4695816,245.3694,1.057355642,19.09087563,30.63798904
994446,1103960,1408.631592,17.25040817,175.3387756,0.638383806,21.29357147,11.72828293
1570446,1448960,1265.052612,16.70144463,26.03894424,0.101469241,9.980992317,9.752616882
763446,978960,1592.394775,18.32109451,83.63599396,0.4839302,20.33562851,27.15592384
-96554,998960,1037.868408,18.64480209,225.3754578,0.36660412,39.91181946,35.16651154
